"Country","ParticipantName","Address","City","BIC","Readiness Date","Scheme Leaving Date","Scheme Options"
"ANDORRA","ANDORRA BANK AGRICOL REIG, S.A.","Carrer Manuel Cerqueda i Escaler 4-6","Escaldes-Engordany","BACAADADXXX","2022-10-31","",""
"AUSTRIA","Raiffeisenbank Kuchl-St.Koloman eGen","Markt 222","Kuchl","RVSAAT2S029","2017-11-21","",""
"AUSTRIA","Allgemeine Sparkasse Oberoesterreich Bankaktiengesellschaft","Promenade 11-13","Linz","ASPKAT2LXXX","2017-11-21","",""
"AUSTRIA","AUSTRIAN ANADI BANK AG","Domgasse 5","KLAGENFURT","HAABAT2KXXX","2020-08-31","",""
"AUSTRIA","BANK FUER TIROL UND VORARLBERG A.G.","STADTFORUM","INNSBRUCK","BTVAAT22XXX","2020-03-02","",""
"AUSTRIA","Bankhaus Carl Spaengler & Co. AG","Schwarzstrasse  1","Salzburg","SPAEAT2SXXX","2019-10-07","",""
"AUSTRIA","Bausparkasse der oesterreichischen Sparkassen AG","Beatrixgasse 27","Wien","BAOSATWWXXX","2017-11-21","",""
"AUSTRIA","BAWAG P.S.K.(Bank fuer Arbeit und Wirtschaft und Oesterreichische Postsparkasse Aktiengesellschaft)","Wiedner Gürtel 11","VIENNA","BAWAATWWXXX","2022-09-15","",""
"AUSTRIA","BKS BANK AG","43, ST. VEITER RING","KLAGENFURT","BFKKAT2KXXX","2020-02-03","",""
"AUSTRIA","Die Zweite Wiener Vereins-Sparcasse","Glockengasse 3","Wien","GIBAAT21XXX","2017-11-21","",""
"AUSTRIA","DOLOMITENBANK OSTTIROL-WESTKAERNTEN EG","SUEDTIROLER PLATZ 9","LIENZ","OVLIAT21XXX","2019-06-04","",""
"AUSTRIA","Dornbirner Sparkasse Bank AG","Bahnhofstrasse 2","Dornbirn","DOSPAT2DXXX","2017-11-21","",""
"AUSTRIA","ERSTE BANK DER OESTERREICHISCHEN SPARKASSEN AG","Am Graben 21","Wien","GIBAATWWXXX","2017-11-21","",""
"AUSTRIA","Erste Group Bank AG","Am Graben 21","Wien","GIBAATWGXXX","2017-11-21","",""
"AUSTRIA","HYPO NOE Landesbank für Niederösterreich und Wien AG","Hypogasse 1","ST. POELTEN","HYPNATWWXXX","2020-04-06","",""
"AUSTRIA","HYPO TIROL BANK AG","Meranerstrasse 8","INNSBRUCK","HYPTAT22XXX","2019-11-04","",""
"AUSTRIA","Hypo Vorarlberg Bank AG","1 HYPO-PASSAGE","BREGENZ","HYPVAT2BXXX","2020-05-18","",""
"AUSTRIA","HYPO-BANK BURGENLAND AKTIENGESELLSCHAFT","Hauptstrasse 31","EISENSTADT","EHBBAT2EXXX","2020-12-07","",""
"AUSTRIA","Kaerntner Sparkasse AG","Neuer Platz 14","Klagenfurt","KSPKAT2KXXX","2017-11-21","",""
"AUSTRIA","Kremser Bank und Sparkassen Aktiengesellschaft","Ringstrasse 5-7","Krems","SPKDAT21XXX","2017-11-21","",""
"AUSTRIA","Lienzer Sparkasse AG","Johannesplatz 6","Lienz","LISPAT21XXX","2017-11-21","",""
"AUSTRIA","OBERBANK AG","Untere Donaulande, 28","Linz","OBKLAT2LXXX","2019-09-02","",""
"AUSTRIA","OBEROESTERREICHISCHE LANDESBANK AKTIENGESELLSCHAFT","38, LANDSTRASSE","LINZ","OBLAAT2LXXX","2017-11-21","",""
"AUSTRIA","Österreichische Ärzte- und Apothekerbank AG","4, KOLINGASSE","VIENNA","BWFBATW1XXX","2020-01-07","",""
"AUSTRIA","Posojilnica Bank eGen","5-7, PAULITSCHGASSE","KLAGENFURT","VSGKAT2KXXX","2019-09-10","",""
"AUSTRIA","Raiffeisen Bank Going reg.Gen.m.b.H.","Dorfstrasse 25","Going","RZTIAT22232","2017-11-21","",""
"AUSTRIA","Raiffeisen Bank International AG","9, AM STADTPARK","VIENNA","RZBAATWWXXX","2017-11-21","",""
"AUSTRIA","Raiffeisen Bank Lurnfeld-Mölltal eGen","Hauptstrasse 23","Moellbruecke","RZKTAT2K412","2017-11-21","",""
"AUSTRIA","Raiffeisen Bank Villach reg.Gen.m.b.H.","Nikolaigasse 4","Villach","RZKTAT2K496","2017-11-21","",""
"AUSTRIA","Raiffeisen Bezirksbank Kufstein eGen","Oberer Stadtplatz 1a","Kufstein","RZTIAT22358","2017-11-21","",""
"AUSTRIA","Raiffeisen Landesbank Vorarlberg mit Revisionsverband eGen","Rheinstrasse 11","Bregenz","RVVGAT2BXXX","2017-11-21","",""
